Date,Open,High,Low,Close,Adj Close,Volume,Yesterday_Open,Yesterday_High,Yesterday_Low,Yesterday_Close,Yesterday_AdjClose,Yesterday_Volumne,Market
7/30/12,2959.070068,2970.300049,2939.040039,2945.840088,2945.840088,1483990000,2906.5,2961.870117,2900.97998,2958.090088,2958.090088,2102610000,Red
7/31/12,2945.080078,2959.620117,2938.409912,2939.52002,2939.52002,1801440000,2959.070068,2970.300049,2939.040039,2945.840088,2945.840088,1483990000,Red
8/1/12,2956.719971,2958.280029,2917.780029,2920.209961,2920.209961,1722530000,2945.080078,2959.620117,2938.409912,2939.52002,2939.52002,1801440000,Red
8/2/12,2900.459961,2934.649902,2890.850098,2909.77002,2909.77002,1822620000,2956.719971,2958.280029,2917.780029,2920.209961,2920.209961,1722530000,Red
8/3/12,2951.280029,2977.409912,2945.810059,2967.899902,2967.899902,1730210000,2900.459961,2934.649902,2890.850098,2909.77002,2909.77002,1822620000,Green
8/6/12,2978.159912,3000.23999,2974.22998,2989.909912,2989.909912,1528260000,2951.280029,2977.409912,2945.810059,2967.899902,2967.899902,1730210000,Green
8/7/12,3002.659912,3028.610107,3002.090088,3015.860107,3015.860107,1899240000,2978.159912,3000.23999,2974.22998,2989.909912,2989.909912,1528260000,Green
8/8/12,3003.77002,3018.899902,3002.409912,3011.25,3011.25,1874580000,3002.659912,3028.610107,3002.090088,3015.860107,3015.860107,1899240000,Red
8/9/12,3009.860107,3022.689941,3007.300049,3018.639893,3018.639893,1677970000,3003.77002,3018.899902,3002.409912,3011.25,3011.25,1874580000,Green
8/10/12,3008.830078,3020.860107,3003.379883,3020.860107,3020.860107,1556460000,3009.860107,3022.689941,3007.300049,3018.639893,3018.639893,1677970000,Green
8/13/12,3018.27002,3023.030029,2999.120117,3022.52002,3022.52002,1353380000,3008.830078,3020.860107,3003.379883,3020.860107,3020.860107,1556460000,Green
8/14/12,3032.669922,3034.159912,3009.929932,3016.97998,3016.97998,1567830000,3018.27002,3023.030029,2999.120117,3022.52002,3022.52002,1353380000,Red
8/15/12,3013.330078,3032.060059,3013.330078,3030.929932,3030.929932,1536730000,3032.669922,3034.159912,3009.929932,3016.97998,3016.97998,1567830000,Green
8/16/12,3037.179932,3067.439941,3033.280029,3062.389893,3062.389893,1937430000,3013.330078,3032.060059,3013.330078,3030.929932,3030.929932,1536730000,Green
8/17/12,3067.110107,3076.719971,3060.149902,3076.590088,3076.590088,1640640000,3037.179932,3067.439941,3033.280029,3062.389893,3062.389893,1937430000,Green
8/20/12,3072.659912,3076.209961,3059.899902,3076.209961,3076.209961,1451550000,3067.110107,3076.719971,3060.149902,3076.590088,3076.590088,1640640000,Red
8/21/12,3085.25,3100.540039,3058.73999,3067.26001,3067.26001,1574220000,3072.659912,3076.209961,3059.899902,3076.209961,3076.209961,1451550000,Red
8/22/12,3059.939941,3080.72998,3053.429932,3073.669922,3073.669922,1459130000,3085.25,3100.540039,3058.73999,3067.26001,3067.26001,1574220000,Green
8/23/12,3065.820068,3070.340088,3045.52002,3053.399902,3053.399902,1383860000,3059.939941,3080.72998,3053.429932,3073.669922,3073.669922,1459130000,Red
8/24/12,3045.219971,3076.800049,3042.219971,3069.790039,3069.790039,1349740000,3065.820068,3070.340088,3045.52002,3053.399902,3053.399902,1383860000,Green
8/27/12,3083.620117,3085.810059,3068.129883,3073.189941,3073.189941,1383530000,3045.219971,3076.800049,3042.219971,3069.790039,3069.790039,1349740000,Green
8/28/12,3069.399902,3083.189941,3063.649902,3077.139893,3077.139893,1364740000,3083.620117,3085.810059,3068.129883,3073.189941,3073.189941,1383530000,Green
8/29/12,3078.050049,3087.23999,3067.620117,3081.189941,3081.189941,1282900000,3069.399902,3083.189941,3063.649902,3077.139893,3077.139893,1364740000,Green
